Company Name,Layoff Total,Workforce Region,WARN Date,Reason for Layoff,Occupations,Layoff Date(s),Temp Layoffs,Perm Layoffs,Furloughs,WARN Letter,NAICS 
Avis Budget Group/Avis Budget Car Rental,260,Denver,4/10/2020,Fulough and Permanent,"Agents, Customer Service Reps, Associate Rental Sales, Administrative, mechanic, shuttlers etc.",3/13/20,,260,,Avis Budget Group,53
Barcelona Wine Bar,69,Denver,5/2/2020,COVID-19: Mass Layoff,Not Disclosed,3/18/20,69,,,Barcelona Wine Bar,72
Bartaco,53,Boulder,4/1/2020,Mass Layoff- Temporary,Not disclosed,3/21/20,53,,,Bartaco,72
Basic Energy Services,51,Rural Consortium - Eastern Sub-Area,4/15/2020,Permanent ,Various: Managers & Supervisors,4/15/20,,51,,Basic Energy Srvs,21
Basic Energy Services (Updated),26,Ft. Morgan,4/23/2020,Permanent,"Equipment Operators, Mechanics, Field Supervisor, Welder, Staff Assistant",4/23/20,,26,,Basic Energy Services,21
Basic Energy Services (Updated),26,Rural Consortium - Eastern,4/23/2020,Permanent,"Equipment Operators, Mechanic, Field Supervisor-Pumping Services, Machinist, Welder, Staff Assistant",4/23/20,,26,,Basic Energy Update,21
Beaver Creek Resort,297,Rural Consortium,4/6/2020,COVID-19 - Temporary Closure,Unspecified ,4/6/20,297,,,Beaver Creek,72
Beaver Creek Resort,26,Rural Resort,5/4/2020,COVID - Temporary ,26 ADDITIONAL tOTALING 323,Not available,26,,,Beaver Creek Resort,72
Bed Bath & Beyond,98,Araphaoe/Douglas,4/17/2020,COVID-19 - Furloughs,Not Disclosed,4/4/20,,,98,Bed Bath & Beyond,44
Bicycle Village,65,"Multiple: A/D, Boulder, Rural Consortium",4/6/2020,COVID-19 - Temporary Closure,Unspecified ,4/6/20,65,,,Bicycle Village,45
Bicycle Village,1,Rural Resort,5/4/2020,COVID - Temporary ,1 ADDITIONAL TOTALING 62,Not available,1,,,Bicycle Village,45
Bluprint (3 locations),137,Denver,5/22/2020,Closure - Permanent,"Various: Photographers, Product Managers, Customer Support, Engineers, Editors and Others",7/22/20,,137,,Bluprint,54
Breckenridge Ski Resort,24,Rural Resort,5/4/2020,COVID - Temporary ,24 ADDITIONAL TOTALING 129,Not available,24,,,Breckenridge Ski Resort,71
Breckenridge SSBRK,55,Rural Resort,5/4/2020,COVID - Temporary ,Not Disclosed,Not available,55,,,Breckenridge SSBRK,71
Brekenridge Ski Resort,105,Rural Consortium,4/6/2020,COVID-19 - Temporary Closure,Unspecfiied,4/6,105,,,Breckenridge Ski,71
Brown Palance Denver,298,Denver,5/21/2020,COVID-19 Temporary ,"Various: Cooks, Food Servers, Bussers, Laundry, Banquet Servers, Hostesses and more.",5/21/20,298,,,Brown Palace,72
Calimira dba Rusty Bucket Restraunt & Tavern,65,Adams,3/23/20,COVID-19/Temporary Closure,Not disclosed,3/16/20-3/20/20 and 3/21/20-3/31/20,65,,,Rusty Bucket,72
Cameron Mitchell Restaurants - AD,56,Arapahoe/Douglas,12/8/2020,COVID Temporary,"servers, bartenders, managers, cooks, chefs, home office employees, directors and executives",11/20/20-11/30/20,56,,,Cameron Mitchell Restaurants AD,72
Cameron Mitchell Restaurants-Denver,70,Denver,12/8/2020,COVID - Temporary ,"servers, bartenders, managers, cooks, chefs, home office employees, directors and executives.",11/20/20-11/30/290,70,,,Cameron Mitchell Restaurants-Denver,72
Centerplate Sodexo,276,Denver,11/17/2020,COVID - Temporary ,Various,12/16/20,276,,,Centerplate Sodexo,42
City of Fort Lupton,78,Weld,4/8/2020,Furlough,,4/18/20,,,78,Ft Lupton,92
ClearChoice,120,ADWorks,3/23/2020,COVID-19/Temporary Closure,55 layoffs and 13 furloughs,3/23/20,120,,,Clear Choice,62
Colombo,21,Denver DIA,3/26/2020,COVID-19 - Temporary Closure,undisclosed,3/29/20,21,,,Columbo,72
Colorado Athletic Club - Boulder,186,Boulder,3/30/2020,Furlough,Not disclosed,3/20/20,,,186,Colo Athletic Boulder,79
Colorado Athletic Club - DTC,115,Arapahoe/Dougless,3/30/2020,Furlough,Not disclosed,3/20/20,,,115,Colorado Athletic - DTC,79
Colorado Athletic Club - Flatiron,115,Boulder,3/30/2020,Furlough,Not disclosed,3/20/20,,,115,Colorado Athletic Flatiron,79
Colorado Athletic Club - Inverness,135,Arapahoe/Dougless,3/30/2020,Furlough,Not disclosed,3/20/20,,,135,Colorado Athletic Inverness,79
Colorado Athletic Club - Monaco,192,Denver,3/30/2020,Furlough,Not disclosed,3/20/20,,,192,Colorado Athletic Monaco,79
Colorado Athletic Club - Tabor Center,144,Denver,3/30/2020,Furlough,Not disclosed,3/20/20,,,144,Colo Athletic Tabor Ctr,79
Colorado Athletic Club - Union Station,88,Denver,3/30/2020,Furlough,Not disclosed,3/20/20,,,88,Colorado Athletic Union Station,79
Colorado Fitness Holdings ,59,Pikes Peak,3/31/2020,Furlough,"Managers, Trainers, Front Desk, Member Sales, Instuctors",3/31/20,,,59,Col Fitness Holdings,79
Colorado Mountain Express,198,"Multiple: Rural Consortium, Denver",4/6/2020,COVID-19 - Temporary Closure,Unspecified ,4/6/20,198,,,CO Mtn Express,48
Colorado Mountain Express,13,Rural Resort,5/4/2020,COVID - Temporary ,Not Disclosed; 13 additional totaling 211,Not available,13,,,Colorado Mtn Express,48
Colorado Ski & Golf,133,"Multiple: A/D, Pikes Peak, Jeffco",4/6/2020,COID-19 - Temporary Closure,Unspeficied,4/6/20,133,,,CO Ski & Golf,45
Colorado Ski & Golf,10,Rural Resort,5/4/2020,COVID - Temporary ,Not Disclosed; 10 additional totaling 143,Not available,10,,,Colorado Ski and Golf,45
Cox Automotive,163,Arapahoe/Douglas,5/8/2020,COVID - Temporary ,Not Disclosed,5-17-20,163,,,Cox Automotive,51
Curtis Hotel,182,Denver,3/27/2020,COVID-19 - Temporary Closure,"Wait staff, bartenders, parking attendants, cooks, front desk, baristas, bellmen, room attendants",3/27/20,182,,,Curtis Hotel,72
Curtis Hotel Update,136,Denver,7/6/2020,COVID Permanent,"Housekeeping, prep cooks, banquet service, baristas, wait staf, bellman,  and more.",6/5/20 to 6/22/20,,,136,Curtis Hotel Update,72
Czarnowski,53,Denver,5/15/2020,COVID-Temporary,"Various: 3D Designer, Account Mgr, Admin Graphics, Carpenters, Proj Mgr and more","5/22/20, 5/26/20, 5/29/20",53,,,Czarnowski,54
Czarnowski - Update,9,Denver,6/5/2020,Temporary furloughs,"Various:  3D Designer, Account Manager, Inventory, Carpenter Inventory Control, CNC Operator, Warehouse, Rental","6/10/20, 6/17/20, 6/22/20, 6/26/20", ,,9,Czarnowski - Update,54
Czarnowski Update,20,Denver,7/15/2020,COVID Temporary,"Account Managers, Carpenters, Accounting Assitants, CAD, data entry Rental CAD, Rental designer and more",7/18/20-8/11/20,20,,,Czarnowski Update,54
Dave and Busters Denver,136,Denver,9/8/2020,COVID 19 Permanent,Not specified,11/8/20,,,136,Dave & Busters Denver,72
Dave and Busters Westminster,98,Adams,9/8/2020,COVID 19 Permanent,Not specified,11/8/20,,,98,Dave & Busters Westminster,72
Delaware North Company,96,Denver,7/28/2020,COVID Temporary,"Various: Bartenders Cocktail Servers, Cooks, Utility workers, Stand Attendants, and more",7/28/20,96,,,Delaware North Company,72
Deliverol Global,53,Denver,8/10/2020,Permanent Mass Layoff (Ending Contract),"Various: Delivery Associates, Shift and Site Leads",8/10/20,,,53,Deliverol Global,49
Dels Diner,14,Rural Consortium,3/17/2020,COVID-19-Temporary Closure,"cooks, waitresses, management",3/17/20,14,,,Del's Diner,72
Denver Center for Performing Arts,151,Denver,5/27/2020,Mass Layoff -Temporary/Some Permanent,"Various: Ticket Agents, Stage Hands, Office Managers, Production Electricians and Ohters",6/1/20,151,,,Denver Center for Performing Arts,72
Denver Crown Plaza,69,Denver,5/8/2020,Furloughs,"Various: Banquet Servers & Setup, Accounting Clerk, Engineer, Barista, Event Sales, Front Desk and others",3/12/20,,,69,Crown Plaza,72
Discovery Natural Resources,28,Denver,4/8/2020,Furlough,Not disclosed,4/8/20 - 5/1/20,,,28,Discovery ,21
Double Tree by Hilton Update -3203 Quebec,103,Denver,7/31/2020,COVID Temporary,Not disclosed,7/31/20,103,,,Doubletree 3203 Quebec,72
DoubleTree Colorado Springs,177,Pikes Peak,5/15/2020,COVID-19 Temporary ,"Various: Accounting Personnel, Sales and Event Managers, Operations Managers, Front Line Supervisors, Shuttle drivers",3/16/20,177,,,Doubletree,72
Doubletree Denver Tech Center,87,Arapahoe/Douglas,4/2/2020,COVID-19 - Temporary Closure,Various: Request WARN for detail.,3/13/20,87,,,Doubletree DTC,72
Doubletree Denver Tech Center,27,Denver,10/20/2020,COVID-Permanent,Not specified,10/22/20,,27,,Doubletree Denver,72
Doubletree Grand Junction,52,Mesa,4/2/2020,COVID-19 - Temporary Closure,Various: Request WARN for detail.,3/13/20,52,,,Doubletree GJ,72
Dynalectric Company,2,Boulder,3/27/2020,COVID 19- Temporary Closure,undisclosed,3/13/20,2,,,Dynalectric,23
Dynalectric Company,1,Denver,4/2/2020,COVID-19 - Temporary Closure,Various: Request WARN for detail.,3/30/20,1,,,Dynalectric,23
Dynalectric Company,1,Pikes Peak,4/10/2020,Furlough,Not Disclosed,4/18/20,,,1,Dynalectric,23
Earls Restaurants USA Inc.,134,Denver & Arapahoe/Douglas,3/25/2020,COVID-19 - Temporary Closure,"servers, dishwashers, cook, bartender, prep, setter dining & lounge, host +",3/25/20,134,,,Earls,72
Ebassy Suites Denver Downtown,118,Denver,3/30/2020,COVID-19 Temporary Closure,Variety of positions - Request WARN for detail,3/19/20,118,,,Embassy Suites,72
EcoGen Laboratories,101,Grand Junction (Mesa),6/19/2020,Mass Layoff- Permanent,Variety of postions - Request WARN for detail,6/17/2020 - 7/1/2020,,,101,EcoGen,33
EcoGen Laboratories - Update,101,Mesa,7/23/2020,COVID Permanent,Not specified,5/26/20-July/22/20,,,101,EcoGen Labs - Update,33
Ecogen Laboratories Update,168,Mesa,7/23/2020,COVID Permanent,Not disclosed,7/23/20,,,168,Ecogen Update,33
Einstein Brothers,34,Denver DIA,3/26/2020,COVID-19 - Temporary Closure,undisclosed,3/29/20,34,,,Einstein Brothers,72
Electro Rent,1,Boulder,5/16/2019,COVID Furlough,"Electronic Tech, Digital Demand Generation, IT Tech Support, Test Equipment Operator, Equipment Support Techs, Production Operator",,,,1,Electro Rent,53
Electro Rent ,55,Denver,7/1/2020,COVID Permanent,"Various: Equipment Support Techs, Electronic Techs, Customer Support Tech, Territory Account Mgrs, and more",7/1/20,,55,,Electro Rent Update,53
Electronic Recyclers,26,Araphaoe/Douglas,3/25/2020,COVID-19 Temporary Closure,"Operators, environmental and Safety, production, truck driver, HR assistant, loss prevention",3/24/20,26,,,Electronic Recyclers,42
Elizabeth Hotel,111,Larimer,3/27/2020,COVID-19 - Temporary Closure,"Wait staff, bartenders, parking attendants, cooks, front desk, baristas, bellmen, room attendants",3/27/20,111,,,Elizabeth Hotel,72
Embassy Suites & Hilton Garden Inn Boulder,126,Boulder,3/27/2020,COVID-19 - Temporary Closure,Variety of positions - Request WARN for detail,3/27/20,126,,,,72
Embassy Suites Boulder -Update,61,Boulder,5/15/2020,Reinstate and COVID Temporary,"Various: Cooks, Laundry, Managers, Breakfrast Attendnance and others; REINSTATING 95 AND LAYING OFF 61",6/13/20,61,,,Embassy Suites Boulder,72
Embassy Suites by Hilton Colo Springs - Updated,57,Pikes Peak,6/26/2020,COVID-19 Permanent RIF,"Various: Banquet Server, Bartenders, Comp Bar, Cooks, Sales, Front Desk, Housekeepers, Maintenance and others",7/1/20,,,57,Embassy Suites Colo Springs,72
Embassy Suites by Hilton Denver Tech North  - Updated,56,Denver,6/26/2020,COVID-19 Permanent RIF,"Various: Banquet Server, Bartenders, Comp Bar, Cooks, Sales, Front Desk, Housekeepers, Maintenance and others",7/1/20,,,56,Embassy Suites Denver,72
Embassy Suites Denver Downtown Update,112,Denver,6/29/2020,COVID Permanent,"Banquet servers, sales managers, housekeeping room attendants, dishwashers, servers and more",6/29/20,,,112,Embassy Suites Denver Downtown Update,72
Enterprise and National Rent-A-Car,83,Denver,4/30/2020,Mass Layoff - Permanent,"Various: DOT Bus Drivers, Drivers, Return Agents, Maintenance Techs and others",4/30/20,,,83,Enterprise and National Rent-A-Car,53
Etias,32,Denver DIA,3/26/2020,COVID-19 - Temporary Closure,undisclosed,3/29/20,32,,,Etias,72
Extraction Oil and Gas Inc,62,Denver,7/17/2020,COVID-19 Permanent,Not Disclosed,7/17/20,,62, ,Extraction Oil and Gas,21
Factual Data,26,Boulder,3/27/2020,Furlough,Not Disclosed,3/27/20,,,26,Factual Data,56
Flatiron,126,Arapahoe/Douglas,4/15/2020,Permanent closure,Various,4/24/20 & 5/31/20,,126,,Flatiron,23
Fort Collins Hilton,113,Larimer,5/8/2020,Mass Layoff - Temporary,"Various: Banquet Servers & Setup, Accounting Clerk, Engineer, Barista, Event Sales, Front Desk and others",5/8/20,113,,,Ft Collins Hilton,72
Four Seasons,268,Denver,9/11/2020,Temporary Closure for Rennovation,Various hotel staff positions (See WARN),11/1/20,268,,,Four Seasons ,72
Frontier Airlines,398,Denver,7/30/2020,COVID 19 TEMPORARY,Not Disclosed,10/1/20 to 10/4/20,398,,,Frontier,48
FS Vail Employment/Four Seasons Resort and Residences Vail,243,Rural Resort,3/20/2020,COVID-19 Temporary Closure,"Various: Accounting, Front Desk, Guestroom Attendants, Activities Attendants, Cooks, Engineers, Banquest services etc.",,243,,,Four Seasons Vail,72
G2 Secure Staff,23,Denver,4/7/2020,Furlough,"Wheel Chair Agents, Dispatchers & Leads, Admin/Mgmt (Non-Union)",3/27/20,,,23,G2 Secure,48
Gaylord Rockies Resort & Convention Center,1226,Arapahoe/Douglas,6/5/2020,Temporary furloughs  and /or reduction in hours,"Various:Attendants, Cooks, Housekeeping, Billing, Performers, Engineers, Guest Experience Experts, Loss Prevention officer and more.",3/13/20,1226,,,Gaylord,72
Geo Reentry Services LLC,196,Pikes Peak (Colo Springs),1/7/2020,Furlough,"Various: Corrections Personnel (136), Rehabilitation Providers/Therapists (23), General Admin (17), Food Service (6), Medical (14)",3/6/2020,,,196,Geo ,92
Go Rentals,7,Denver,3/20/2020,Furlough,"Carwash, Manager, Carcierge ",3/22/20,,,7,Go Rental Denver,53
Go Rentals,11,Rural Consortium,3/20/2020,Furlough,"Carwash, Regional Manager, Trainee, Detailer",3/22/20,,,11,Go Rental RC,53
Grand Hyatt Denver,317,Denver,6/3/2020,Partial Closure - conversions of furloughs to temporary layoffs and some extensions of furloughs,"Various: Clerks, Cooks, Bartenders, Event Managers, Greeters, Hosts, Room Attendants, Security Officers, Servers Events and mor.",6/20/20,317,,,Grand Hyatt Denver,72
Grand Hyatt Denver,32,Denver,11/4/2020,COVID- Permanent,"Various: Supervisors, Managers, Chefs, Event Services, and more. (See WARN)",11/6/20,,32,,Grand Hyatt Denver,72
Grand Hyatt Vail,196,Rural Resort,6/15/2020,Temporary furloughs & layoffs,"Various: Servers, Cooks, Stewards, Event Manger, Front Desk, Housekeeping, Purchasing, Maintenance & more, 196 (7 perm & 189 furlough)196","6/26/2020, 6/30/2020",196,,,Grand Hyatt Vail ,72
Grand Hyatt Vail - Update,9,Rural Consortium =RR,9/11/2020,COVID 19 - Permanent Closure,Various hotel staff positions (See WARN),9/4/20,,9,,Grand Hyatt,72
Great Wolf Lodge,446,Pikes Peak,3/27/2020,COVID-19 - Temporary Closure,"Wait staff, bartenders, parking attendants, cooks, front desk, baristas, bellmen, room attendants",3/16/20,446,,,Great Wolf,72
Group Publishing Inc. ,62,Larimer,5/22/2020,Mass Layoff - Permanent,Not disclosed,7/1/20 & 10/1/30,,62,,Group Publishing,51
Guest Services,3,RC,7/23/2020,COVID Permanent,Not specified,9/25/20,,3,,Guest Services,56
Halliburton,130,Weld ,4/14/2020,Permanent  ,Various,4/13/20,,130,,Halliburton,21
Hard Rock Cafe,74,Denver,4/22/2020,Furlough,"Bartender, Bussers, Dishwashers, Financial Asst, Line Cook, Maintenance, Cafe Sales, Cooks, Supervisors kitch and Retail",4/13/20-4/27/20,,,74,Hard Rock Cafe,72
Hertz Corporation,190,Denver,4/24/2020,Mass Layoff - Permanent,"Various: Vehicle Service Attendancts, Courtesy Bus Drivers, Customer Care, Mechanics ",4/14/20 & 4/20/20,,190,,Hertz Corp,53
Hertz Corporation (Update),212,Denver,6/18/2020,Mass Layoff- Permanent,Variety of postions - Request WARN for detail,8/17/2020,,212,,Hertz Corporation (Update),53
Hertz Corporation Update,19,Denver,5/21/2020,Mass Layoff - Permanent,"Various: Customer Care, Clerks",5/20/20,,19,,Hertz Corp Update,53
Hilton Denver City Center - Updated,24,Denver,10/9/2020,COVID - Permanent,Not reported,10/23/20,,24,,Hilton Denver City,72
Hilton Denver City Center Update, ,Denver,7/24/2020,COVID Temporary,Not disclosed,7/24/20,0,,,Hilton Denver City Update,72
Hilton Denver Inverness,0,Arapahoe/Douglas,5/6/2020,COVID - Temporary ,"Various: Clerks, Controllers, Event Sales Engineering, Event Planner, Front Desk Agent, Supervisor, Room Service; EXTEND DATE 200 ",Not available,0,,,Hilton Inverness,72
Hilton Garden Denver Inverness - Update,187,ADW,8/31/20,COVID 19 Extended Furlough,Various,8/19/20,,,187,Hilton Denver Inverness,72
Hilton Garden Inn,113,Denver,5/4/2020,COVID - Temporary ,"Various: Clerks, Controllers, Event Sales Engineering, Event Planner, Front Desk Agent, Supervisor, Room Service ",Not available,113,,,Hilton Garden Inn,72
Hilton Garden Inn - Update,76,Denver,8/31/2020,COVID 19 Extended Furlough,Various,8/19/20,,,76,Hilton Garden Inn,72
Hiro and Company,92,Denver,6/9/2020,Permanent,"Various: bussers, servers, cooks,hosts, kitchen staff, managers, bar staff, bartenders, chefs",5/31/20,,92,,Hiro & Company,72
HMSHost,21,Denver,3/20/2020,COVID-19/Temporary Closure,Not disclosed,"3/19/20 to 4/20/20, closing 3/19/20",21,,,HMS Host,72
HMSHost - Update,184,Denver,8/11/2020,COVID - Permanent,"Various: Baristas, Bartenders, Supervisors, Utility, Cooks and more",10/15/19,,184,,HMSHost Update,72
Holiday Inn Denver East Stapleton,24,Denver,3/23/2020,COVID-19 - Temporary Closure,"bartender, Director of Sales, Van Driver, FD agent, Night Audit, Group sales, laundry, cooks, maintenance tech, attendants, servers, bussers, stewards",3/19/20,24,,,,72
Hudson Group & Airport Management Services,55,Denver,7/30/2020,COVID Permanet,"Beauty Advisors, office administration, operations manager, service associate, specialty service associate, supervisor, warehouse associate",7/31/20,,55,,Hudson Group Airport Mgmt Srvs,48
Hyatt Regency Denver,464,Denver,6/2/2020,"COVID-19 - Partial Closure: permanent, furloughs to temporary layoffs, extension of furloughs","Various: Cooks, Housepersons, Event Services Supervisors, Hosts, Housekeeping, Security Officers, Servers, & Others20 tOTAL 464 permanent;  87-extensions of furloughs, 357-furloughs to temporary layoffs w/o employment benefits",3/29/20,464,,,Hyatt Regency Denver,72
Hyatt Regency Denver,88,Denver,11/4/2020,COVID-Permanent,"Various: Managers, Housekeepers, Event Managers, Housekeeping, Sales and more (See WARN)",11/6/20,,88,,Hyatt Regency Denver,72
International Car Wash Group,37,Arapahoe/Douglas,3/27/2020,Furlough,"Accountants, Accounts Payable, Business Manager, Construction Manager, Financial Analysts, Marketing",3/31/20,,,37,ICWG,
iQor Holdings US LLC,82,Pueblo,3/2/2020,Mass Layoff m- Permanent,Unknown ,5/1/2020,,82,,IQor,54
"iQor Holdings US LLC (Update, 33 jobs saved)",N/A,Rural Consortium,4/24/2020,Jobs Saved,N/A,N/A,0,0,0,Iqor Update,54
Isis Theatre/Metro Rocky Mountain Cinemas,11,Rural Resort,3/20/2020,COVID-19 /Mass Layoff-Temp,2 on furlough,3/21/20,11,,,Isis,51
Isle of Capri & Lady Luck Casinos,470,Gilpin/Jefferson,4/7/2020,Furlough,Not Disclosed,4/7/20,,,470,Capri & Lady,71
Italian Beverage LLC,92,Denver,4/6/2020,Furlough,"Various: cooks, bartenders, host, server, food runners, barista, diswasher host",4/6/20,,,92,Italian Bev,72
JW Marriott Denver Cherry Creek,112,Denver,3/30/2020,COVID-19 Temporary Closure,Variety of positions - Request WARN for detail,3/23/20,112,,,JW Marriott,72
Keystone Conference Center,75,Rural Consortium,4/6/2020,COVID-19 - Temporary Closure,Unspecified ,4/6/20,75,,,Keystone Confer.,72
Keystone Conference Center,25,Rural Resort,5/4/2020,COVID - Temporary ,"Not Disclosed; extend furlough date,25 additional totaling 100",Not available,25,,,Keystone Conference Ctr,72
Keystone Lodging,200,Rural Consortium,4/6/2020,COVID-19 - Temporary Closure,Unspecified ,4/6/20,200,,,Keystone Lodging,72
Keystone Lodging,42,Rural Resort,5/4/2020,COVID - Temporary ,Not Disclosed; 42 additional totaling 242,Not available,43,,,Keystone Lodging,72
Keystone Resort,11,Rural Resort,5/4/2020,COVID - Temporary ,Not Disclosed; 11 ADDITIONAL TOTALING 158,Not available,11,,,Keystone Resort,72
Keystone Resort-Update,147,Rural Consortium,4/6/2020,COVID-19- Temporary Closure,Unspecified ,4/6/20,147,,,Keystone Resort,72
KFC-PHX,16,Denver DIA,3/27/2020,COVID-19 - Temporary Closure,undisclosed,3/29/20,16,,,KFC,72
Kimpton Hotel Born,125,Denver,7/1/2020,COIVID-19 Temporary,Undisclosed,7/1/20,125,,,Kimpton,72
Kimpton Hotel Monaco Denver,145,Denver,6/21/2020,COVID - Temporary ,Not disclosed,6/21/2020,145,,,Kimpton Hotel Monaco Denver,72
Laurel Manor Care Center,77,Pikes Peak,8/27/2020,Closure-Perm,Various (See WARN),11/11/20,,77,,Laurel Manor Care,62
LeMeridian Denver - Update,59,Denver,8/28/2020,COVID - Permanent,Various (See WARN),8/31/20,,59,,Le Meridian,72
LeMeridien Denver - Update,111,Denver,7/2/2020,COVID-19 - Temporary Layoffs Extension,"Various: Servers, Cooks, Auditors, Marketing, Front Desk, Hostess, Phone Attendent, bartenders and more.; : 73-extended furlough, 50% Hr Reduction: 25, Perm Layoff- 13",7/2/20,111,,,LeMeridien Denver,72
Liberty Oilfield Services,183,Adams,4/2/2020,COVID-19 - Temporary Closure,Various: Request WARN for detail.,4/2/20,183,,,Liberty Oilfield,54
Liberty Oilfield Services,153,Adams,4/27/2020,Permanent,Not Disclosed,4/27/20,,153,,Liberty Oilfield Services,54
LSG Group/Sky Chefs,94,Denver,8/28/2019,COVID -19 Permanent,"Food equipment handlers, food preparers, supply clerks and others (See WARN)",,,94,,LSG Group,72
"Luckys Markets, Luckys Cafe, Lucky's Bakehouse Creamery",300,Boulder  ,1/23/2020,Closure-Perm,Various: Request WARN for detail.,3/24/20- 4/7/20 in phases,,300,,Boulder,72
Mariott Denver Tech Center ,196,Denver,3/30/2020,COVID-19 Temporary Closure,Variety of postions - Request WARN for detail,3/17/20,196,,,Denver Marriott Tech Ctr,72
Marriott Colorado Springs,101,Pikes Peak,4/3/2020,COVID-19 - Temporary Closure,"Various: Restaurant, Banaquets, Kitchen Front Office, Housekeeping, Laundry Admin, sales & catering positions",3/16/20,101,,,Marriott CS,72
Marriott Denver South - Update,55,Arapahoe/Doughlas,7/2/2020,"COVID-19 - Permanent, Temporary","Various: Servers, Managers, Dishwashers, Auditors, Bartenders, Chefs, HR Managers, Public Area Attendants and more; 55   (17- Permant layoffs, 1- 50% hr reduction, 37-Extended furloughs",7/2/20,55,,,Marriott Denver South Update,72
Marriott Denver West ,61,Jefferson,8/28/2020,COVID - Permanent,Various (See WARN),10/30/20,,61,,Marriott Denver West,72
Marriott DTC,184,Arapahoe/Douglas,6/18/2020,Mass Layoff- Permanent,Variety of postions - Request WARN for detail,5/1/2020 - 5/17/2020,,184,,Marriott DTC (Update),72
Marriott Westminster - Update,45,Adams,7/2/2020,COVID-19 - Permanent & Temporary,"Various: Host/Cashier, Front Desk, Sous Chef, Attendants, Catering, Cooks, Audio Visual Supervisor, Sales and others: 45 (4- Permanent, 1-50% hr reduction, 40-Extended furlough",7/2/20,,45,,Marriott Westminster,72
Maven Hotel at Dairy Block,97,Denver,3/27/2020,COVID-19 - Temporary Closure,"Wait staff, bartenders, parking attendants, cooks, front desk, baristas, bellmen, room attendants",3/27/20,97,,,Maven Hotel,72
Maven Hotel at Dairy Block - Update,73,Denver,5/15/2020,COVID-19 Temporary ,"Various: Dir Sales, Lounge Services, Bartender, Line Cooks, Houskeeping, Managers and others; 84 REINSTATED, 73 LAID OFF",6/16/20,73,,,Maven,72
Menzies Aviation,232,Denver,9/10/2020,COVID 19 - Permanent Closure,"Ramp agents, mechanics, duty managers, ops agents, supervisors and others",11/9/20,,232,,Menzies Aviation,48
Mercedes-Benz of Little (European Motorcars of Littleton),61,Arapahoe/Douglas,4/1/2020,COVID-19 - Temporary Closure,"sales, parts advisor, service advisor, finance, videographer, detailer, administrative & others","3/20/20, 3/24/20, & 3/26/20",61,,,Mercedes of Littleton,44
MetroLux 14 Theaters/MetroLux Dine-In/Metro Rocky Mountain Cinemas,120,Larimer,3/20/2020,COVID-19 /Temporary Closure,11 furlough,3/21/20,120,,,Metrolux 14,51
Mike Shaw Chrysler Dodge Jeep Ram,42,Weld,4/3/2020,COVID-19 - Temporary Closure,Unspecified ,4/3/20,42,,,Mike Shaw,44
Mile High Honda/Acura (Braman Colorado Imports),63,Denver,4/1/2020,COVID-19 - Temporary Closure,"sales, lot tech, controller, drive attendant, lube tech, parts runner & counter, shuttle driver, service advisor, wholesale parts","3/24/20, 3/26/20 & 3/30/20",63,,,Mile High Honda,44
"Mining Exchange, a Wyndham Grand Hotel",76,Pikes Peak,9/10/2020,"COVID 19 - 46 permanent, 30 temporary","Dishwasher, line cook, restaurant server, engineer, chef, front desk agent, houskeeping, valet, concierge, dishwasher, nail technician, reservations agent, sales manager, massage therapists and others; 46 permanent, 30 temporary",9/10/20,30,46,,"Mining Exchange, WyndhamGrand Hotel ",72
"Modern Mexican of Denver, LLC dba La Sandia",35,Denver,3/17/2020,COVID-19/Temporary Closure,"servers, bussers, runners, bartenders, cooks hosts janitors",3/17/20,35,,,La Sandia,72
Molson Coors (Update),196,Denver,1/15/2020,Closure,Various: Request WARN for detail.,12/31/19 (for 265) Not specified for 191,,196,,,31
Mountain States Rosen,222,Weld ,6/11/2020,Closure - Permanent,Various: Request WARN for detail.,8/11/2020,,222,,Mountain States Rosen (Redacted),44
Nordstrom,167,Broomfield,5/11/2020,Closure - Permanent,"Various: Administration, Cash Room, Logistics Processor, Salespeople, Manager, Merchandiser and more",6/21/20,,167,,Nordstrom,45
North Colorado Springs Health & Fitness,107,Pikes Peak,3/31/2020,Furlough,"Managers, Trainers, Front Desk, Member Sales, Instuctors",3/31/20,,,107,North Co Springs Health & Fitness,71
Oakwood Worldwide (US) LP (Update to  12/30/19 WARN),6,Denver,1/28/2020,Mass Layoff-Perm,"Various: Admin Assistant (1) Housekeeper  (4), Inventory Specialist (1) ",3/30/20,,6,,Oakwood Worldwide,54
Outrigger Marketing,11,Arapahoe/Douglas,4/1/2020,COVID-19 Temporary Closure,Not disclosed,4/3/20,11,,,Outrigger,72
Oxford Hotel,186,Denver,3/27/2020,COVID-19 - Temporary Closure,"Wait staff, bartenders, parking attendants, cooks, front desk, baristas, bellmen, room attendants",3/27/20,186,,,Oxford Hotel,72
Pac-12,4,Boulder,4/3/2020,COVID-19- Temporary Closure,Free lance writers; 531 total and 4 in Colorado,4/6/20-5/23/20,4,,,Pac-12,51
Paper Source,12,Denver,3/27/2020,COVID -19 - Temporary Closure,Variety of postions - Request WARN for detail,3/29/20,12,,,Paper Source Denver,32
Paper Source,6,Arapahoe/Douglas,3/27/2020,COVID-19 Temporary Closure,Variety of positions - Request WARN for detail,3/29/20,6,,,Paper Source AD,32
